mAP: 0.3521
mATE: 0.6790
mASE: 0.6232
mAOE: 0.5805
mAVE: 1.2813
mAAE: 0.6531
NDS: 0.3225
Eval time: 0.6s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.876   0.245   0.132   0.103   1.105   0.743 
truck                   0.291   0.610   0.392   0.165   3.752   0.000 
bus                     0.762   0.263   0.187   0.152   1.556   0.208 
trailer                 0.837   0.400   0.263   0.367   0.289   0.994 
construction_vehicle    0.000   1.000   1.000   1.000   1.000   1.000 
pedestrian              0.755   0.271   0.258   0.437   0.549   0.279 
motorcycle              0.000   1.000   1.000   1.000   1.000   1.000 
bicycle                 0.000   1.000   1.000   1.000   1.000   1.000 
traffic_cone            0.000   1.000   1.000   nan     nan     nan   
barrier                 0.000   1.000   1.000   1.000   nan     nan   
